,Unnamed: 0,date,open,high,low,close,adjcp,tic,zopen,zhigh,zlow,zadjcp,zclose,zd_5,zd_10,zd_15,zd_20,zd_25,zd_30
0,0,2012-01-04,14.64285659790039,14.8100004196167,14.617142677307127,14.765713691711426,12.64350128173828,AAPL,-0.00832043044963,0.0029992947736845,-0.0100618918601744,-0.1437256914418181,0.0053740822122501,-0.0103479962704939,-0.0114150411249438,0.0027512533463014,-0.0611241651934283,-0.0721283557200436,-0.1264814499120539
29,1,2012-01-05,14.819643020629885,14.948213577270508,14.738213539123535,14.929642677307127,12.78386688232422,AAPL,-0.0073678693492403,0.0012438944698662,-0.0128220843807977,-0.1437258641323318,0.011102002180072,-0.0103479962704939,-0.0114150411249438,0.0027512533463014,-0.0611241651934283,-0.0721283557200436,-0.1264814499120539
58,2,2012-01-06,14.991786003112791,15.098214149475098,14.972143173217772,15.08571434020996,12.917509078979492,AAPL,-0.0062263102017521,0.000828585838446,-0.0075283917241805,-0.143725727024491,0.0104538110037997,-0.0103479962704939,-0.0114150411249438,0.0027512533463014,-0.0611241651934283,-0.0721283557200436,-0.1264814499120539
87,3,2012-01-09,15.196429252624512,15.276785850524902,15.048213958740234,15.061785697937012,12.897021293640137,AAPL,0.0089394151123756,0.0142745459867577,-0.0009010710594983,-0.1437256144597369,-0.0015861789328178,-0.0103479962704939,-0.0114150411249438,0.0027512533463014,-0.0611241651934283,-0.0721283557200436,-0.1264814499120539
116,4,2012-01-10,15.211071014404297,15.214285850524902,15.053570747375488,15.115714073181152,12.943197250366213,AAPL,0.0063084642089341,0.0065211459324068,-0.00411117367693,-0.1437257156557028,0.0035804768654705,-0.00820338985049,-0.0114150411249438,0.0027512533463014,-0.0611241651934283,-0.0721283557200436,-0.1264814499120539
145,5,2012-01-11,15.09571361541748,15.10178565979004,14.975357055664062,15.091071128845217,12.92209529876709,AAPL,0.0003076313492016,0.0007099914150126,-0.0076677176983135,-0.1437257707925268,-0.0016302864831014,-0.0022718713391984,-0.0114150411249438,0.0027512533463014,-0.0611241651934283,-0.0721283557200436,-0.1264814499120539
174,6,2012-01-12,15.081428527832031,15.103570938110352,14.95535659790039,15.049642562866213,12.886622428894045,AAPL,0.0021120744119362,0.0035833658519706,-0.0062649969640119,-0.1437256815194566,-0.002745236943441,0.0020693274271432,-0.0114150411249438,0.0027512533463014,-0.0611241651934283,-0.0721283557200436,-0.1264814499120539
203,7,2012-01-13,14.989286422729492,15.016071319580078,14.952142715454102,14.993213653564451,12.838302612304688,AAPL,-0.0002619338939404,0.0015245341354948,-0.0027393018641194,-0.1437257609376799,-0.0037495182404527,0.004606930236483,-0.0114150411249438,0.0027512533463014,-0.0611241651934283,-0.0721283557200436,-0.1264814499120539
232,8,2012-01-17,15.149999618530272,15.213929176330566,15.105713844299316,15.16785717010498,12.987844467163086,AAPL,-0.0011773285688571,0.003037476270306,-0.0040970405449324,-0.143725819573155,0.0116481710042868,-0.0055615122160329,-0.0114150411249438,0.0027512533463014,-0.0611241651934283,-0.0721283557200436,-0.1264814499120539
261,9,2012-01-18,15.248571395874023,15.338213920593262,15.225000381469728,15.325357437133787,13.122709274291992,AAPL,-0.005010391540605,0.0008389026821862,-0.0065484316483797,-0.1437257285435127,0.0103838179159037,-0.0130456641558912,-0.0174081649353153,0.0027512533463014,-0.0611241651934283,-0.0721283557200436,-0.1264814499120539
290,10,2012-01-19,15.362500190734863,15.406070709228516,15.232500076293944,15.276785850524902,13.081119537353516,AAPL,0.0056107574622457,0.0084628311196213,-0.0028988934363727,-0.1437256720526684,-0.0031693607674817,-0.0074764146197716,-0.0109387216083813,0.0027512533463014,-0.0611241651934283,-0.0721283557200436,-0.1264814499120539
319,11,2012-01-20,15.267499923706056,15.26785659790039,14.991070747375488,15.010713577270508,12.85328483581543,AAPL,0.0171068713764799,0.0171306326848614,-0.0013085873495556,-0.1437259281745203,-0.0174167705077342,0.0095981152791815,0.0071332560597006,0.0027512533463014,-0.0611241651934283,-0.0721283557200436,-0.1264814499120539
348,12,2012-01-23,15.095356941223145,15.301786422729492,15.08214282989502,15.264642715454102,13.070719718933104,AAPL,-0.0110900580764704,0.0024333165189505,-0.0119557259846191,-0.1437258006897105,0.0169165267777873,-0.0036405150783511,-0.0084485054805526,0.0027512533463014,-0.0611241651934283,-0.0721283557200436,-0.1264814499120539
377,13,2012-01-24,15.182143211364746,15.182143211364746,14.983928680419922,15.014642715454102,12.85665225982666,AAPL,0.0111558096376307,0.0111558096376307,-0.002045605454372,-0.1437257280458821,-0.0163777170982781,0.0109083502130415,0.0077471573884091,0.0027512533463014,-0.0611241651934283,-0.0721283557200436,-0.1264814499120539
406,14,2012-01-25,16.229999542236328,16.230356216430664,15.84749984741211,15.952142715454102,13.659406661987305,AAPL,0.0174181507612167,0.0174405097759711,-0.0065598001414954,-0.1437258990446244,0.0624390481856129,-0.040643790242301,-0.0462341423812424,-0.0508916544007838,-0.0611241651934283,-0.0721283557200436,-0.1264814499120539
435,15,2012-01-26,16.01285743713379,16.028213500976562,15.82642936706543,15.879643440246582,13.597328186035156,AAPL,0.0083889790969473,0.0093560073492224,-0.0033510874083156,-0.1437258501930183,-0.0045447985578316,-0.0286710630339871,-0.0369138098976057,-0.0418819682169537,-0.0611241651934283,-0.0721283557200436,-0.1264814499120539
464,16,2012-01-27,15.869285583496094,16.01714324951172,15.848929405212402,15.974286079406738,13.67836856842041,AAPL,-0.0065730947466883,0.0026828848495601,-0.0078474038571237,-0.1437258290964321,0.0059599977490858,-0.0223618399994031,-0.0368315090858423,-0.0431988508434203,-0.0611241651934283,-0.0721283557200436,-0.1264814499120539
493,17,2012-01-30,15.918213844299316,16.21071434020996,15.90678596496582,16.17892837524414,13.853598594665527,AAPL,-0.0161144499127489,0.0019646520602969,-0.0168207933162454,-0.1437258220474397,0.0128107318737216,-0.023425519244038,-0.0416855866199761,-0.0507964668741166,-0.0611241651934283,-0.0721283557200436,-0.1264814499120539
522,18,2012-01-31,16.27107048034668,16.365713119506836,16.18107032775879,16.3028564453125,13.959714889526367,AAPL,-0.0019497175278728,0.0038555620240654,-0.0074702318555179,-0.1437258288844128,0.0076598441623603,-0.0150455443439604,-0.042008353428536,-0.0529368918408763,-0.0611241651934283,-0.0721283557200436,-0.1264814499120539
551,19,2012-02-01,16.37178611755371,16.392499923706055,16.269643783569336,16.292499542236328,13.950844764709473,AAPL,0.0048664463737955,0.0061378170495256,-0.0014028393008538,-0.1437259379051323,-0.0006352814987308,-0.0102412267104787,-0.0354631544774758,-0.0475195088644527,-0.0555994553379661,-0.0721283557200436,-0.1264814499120539
