,Unnamed: 0,date,open,high,low,close,adjcp,tic,zopen,zhigh,zlow,zadjcp,zclose,zd_5,zd_10,zd_15,zd_20,zd_25,zd_30
12,0,2012-01-04,177.4091796875,178.13575744628906,176.806884765625,177.3804931640625,122.4307632446289,IBM,0.000161723101147,0.004257876775255,-0.0032337738395334,-0.3097845142904726,-0.0040794436460289,-0.0056783473181651,-0.016651438648526,-0.010288837375828,-0.0113135749522021,-0.0130832715419428,-0.0040301476741257
41,1,2012-01-05,176.68260192871094,176.89292907714844,175.0478057861328,176.53919982910156,121.85009765625,IBM,0.000812296077858,0.0020036867074808,-0.0084479483560165,-0.30978446841151,-0.0047428740328442,-0.0056783473181651,-0.016651438648526,-0.010288837375828,-0.0113135749522021,-0.0130832715419428,-0.0040301476741257
70,2,2012-01-06,176.28106689453125,176.3671112060547,174.29254150390625,174.51242065429688,120.45116424560548,IBM,0.010134787160726,0.0106278426762063,-0.001259962755466,-0.309784576971658,-0.0114806183372684,-0.0056783473181651,-0.016651438648526,-0.010288837375828,-0.0113135749522021,-0.0130832715419428,-0.0040301476741257
99,3,2012-01-09,174.1873779296875,174.25430297851562,172.34225463867188,173.6042022705078,119.82424926757812,IBM,0.0033592254769905,0.0037447290993268,-0.0072691076329453,-0.3097848571610637,-0.0052043194426155,0.0139660085661144,-0.016651438648526,-0.010288837375828,-0.0113135749522021,-0.0130832715419428,-0.0040301476741257
128,4,2012-01-10,175.17208862304688,175.64053344726562,173.23135375976562,173.33651733398438,119.63955688476562,IBM,0.0105896398363982,0.0132921564868058,-0.0006067017835377,-0.3097844659342934,-0.0015419265952233,0.010026862404342,-0.016651438648526,-0.010288837375828,-0.0113135749522021,-0.0130832715419428,-0.0040301476741257
157,5,2012-01-11,172.7820281982422,174.7705535888672,172.5621337890625,174.30210876464844,120.30602264404295,IBM,-0.0087209533905223,0.0026875453632708,-0.0099825239517632,-0.3097844684915071,0.0055706174643139,0.000899335654422,-0.016651438648526,-0.010288837375828,-0.0113135749522021,-0.0130832715419428,-0.0040301476741257
186,6,2012-01-12,173.86233520507812,173.91014099121094,170.53536987304688,172.6099395751953,119.13805389404295,IBM,0.0072556402775243,0.0075325987554106,-0.0120188310548864,-0.3097845107457326,-0.0097082542571987,0.0061588675421595,-0.016651438648526,-0.010288837375828,-0.0113135749522021,-0.0130832715419428,-0.0040301476741257
215,7,2012-01-13,171.58700561523438,171.71128845214844,169.55067443847656,171.28106689453125,118.2208480834961,IBM,0.0017861794432394,0.0025117870026003,-0.0101026487482134,-0.3097844950003011,-0.0076987031218161,0.0101919254583429,-0.016651438648526,-0.010288837375828,-0.0113135749522021,-0.0130832715419428,-0.0040301476741257
244,8,2012-01-17,172.4282989501953,173.9961700439453,171.4340362548828,172.08413696289062,118.775146484375,IBM,0.0019999634677478,0.0111110362337871,-0.003777807295207,-0.3097844543916999,0.0046886096806828,0.0037110382669789,0.013316541727389,-0.010288837375828,-0.0113135749522021,-0.0130832715419428,-0.0040301476741257
273,9,2012-01-18,171.92160034179688,173.61376953125,171.6061248779297,173.10707092285156,119.48116302490234,IBM,-0.0068481927094879,0.0029270820983635,-0.0086706223894851,-0.3097846183409146,0.0059443826607998,-0.0024850461044523,0.0044403946583264,-0.010288837375828,-0.0113135749522021,-0.0130832715419428,-0.0040301476741257
302,10,2012-01-19,173.79541015625,174.34034729003906,172.41873168945312,172.58126831054688,119.11827850341795,IBM,0.0070351890305868,0.0101927572830606,-0.0009417975814227,-0.3097844298543821,-0.0030374415643542,-0.0014404212982825,0.0047195071360401,-0.010288837375828,-0.0113135749522021,-0.0130832715419428,-0.0040301476741257
331,11,2012-01-20,177.6003875732422,180.6596527099609,176.625244140625,180.2294464111328,124.39714813232422,IBM,-0.0145872879834147,0.0023869922889665,-0.0199978546362842,-0.3097845518065122,0.0443163859870563,-0.0353595830182711,-0.0358688690445123,-0.010288837375828,-0.0113135749522021,-0.0130832715419428,-0.0040301476741257
360,12,2012-01-23,179.64627075195312,182.14149475097656,179.4168243408203,181.625244140625,125.36052703857422,IBM,-0.0108959159176112,0.0028423945844877,-0.0121592117343269,-0.3097846743070985,0.0077445598224172,-0.0313820825006976,-0.0393618929290551,-0.010288837375828,-0.0113135749522021,-0.0130832715419428,-0.0040301476741257
389,13,2012-01-24,180.3346099853516,183.8432159423828,180.2294464111328,183.489486694336,126.64729309082033,IBM,-0.0171937736914589,0.0019277902751786,-0.0177669050251029,-0.309784471184475,0.0102642260030085,-0.0287918600060218,-0.0437347627222648,-0.0427101007872692,-0.0113135749522021,-0.0130832715419428,-0.0040301476741257
418,14,2012-01-25,182.91586303710932,183.78585815429688,181.27151489257807,183.2982788085937,126.51529693603516,IBM,-0.0020863031228116,0.0026600323193013,-0.0110571901121454,-0.3097845884949813,-0.0010420645301644,-0.0166587618006884,-0.0373023600080397,-0.0398232976511804,-0.0113135749522021,-0.0130832715419428,-0.0040301476741257
447,15,2012-01-26,183.3556365966797,184.3116607666016,182.0936889648437,182.58126831054688,126.02033996582033,IBM,0.0042412252543657,0.0094773821655764,-0.0026704784681079,-0.3097849460029153,-0.0039117142981773,-0.0018427099400657,-0.0289868322163726,-0.0341531711747294,-0.0113135749522021,-0.0130832715419428,-0.0040301476741257
476,16,2012-01-27,181.65391540527344,183.3365173339844,181.46270751953125,182.08413696289065,125.67728424072266,IBM,-0.0023627624283651,0.0068780311782403,-0.0034128697519985,-0.3097845515980555,-0.0027227949080221,0.0029190956495301,-0.0211331085543399,-0.0294865756158155,-0.0113135749522021,-0.0130832715419428,-0.0040301476741257
