,Unnamed: 0,date,open,high,low,close,adjcp,tic,zopen,zhigh,zlow,zadjcp,zclose,zd_5,zd_10,zd_15,zd_20,zd_25,zd_30
15,0,2012-01-04,34.439998626708984,35.150001525878906,34.33000183105469,34.95000076293945,26.36322593688965,JPM,-0.0145923354820429,0.0057224823626194,-0.0177395970915744,-0.2456874002462143,-0.0008575980471541,-0.0004676771514154,-0.0095750563568113,-0.0090996231867613,-0.0183492499283646,-0.0299480095399029,-0.035000679848547
44,1,2012-01-05,34.709999084472656,35.91999816894531,34.400001525878906,35.68000030517578,26.91389274597168,JPM,-0.0271861326347134,0.0067263974696412,-0.0358744049425133,-0.2456868689525342,0.0208869678483787,-0.0004676771514154,-0.0095750563568113,-0.0090996231867613,-0.0183492499283646,-0.0299480095399029,-0.035000679848547
73,2,2012-01-06,35.689998626708984,35.77000045776367,35.13999938964844,35.36000061035156,26.67250633239746,JPM,0.0093325229259417,0.0115950181090236,-0.0062217538717666,-0.2456870511311828,-0.0089686012356283,-0.0004676771514154,-0.0095750563568113,-0.0090996231867613,-0.0183492499283646,-0.0299480095399029,-0.035000679848547
102,3,2012-01-09,35.439998626708984,35.68000030517578,34.9900016784668,35.29999923706055,26.62724494934082,JPM,0.0039659884610268,0.0107649030121304,-0.0087818007165363,-0.245687095613714,-0.0016968713873113,-0.0027195746236929,-0.0095750563568113,-0.0090996231867613,-0.0183492499283646,-0.0299480095399029,-0.035000679848547
131,4,2012-01-10,36.06999969482422,36.34999847412109,35.7599983215332,36.04999923706055,27.192981719970703,JPM,0.0005547977305673,0.0083217543248137,-0.0080444083679539,-0.2456870375737636,0.0212464593827128,-0.016144290007529,-0.0095750563568113,-0.0090996231867613,-0.0183492499283646,-0.0299480095399029,-0.035000679848547
160,5,2012-01-11,35.79999923706055,36.7400016784668,35.65999984741211,36.65999984741211,27.65310287475586,JPM,-0.0234588274394734,0.0021822649041918,-0.0272776869656913,-0.2456873161523501,0.0169209604233351,-0.0231857218038941,-0.0095750563568113,-0.0090996231867613,-0.0183492499283646,-0.0299480095399029,-0.035000679848547
189,6,2012-01-12,36.81999969482422,37.04999923706055,36.16999816894531,36.84999847412109,27.79642868041992,JPM,-0.0008140781693094,0.0054274293411413,-0.0184531976481172,-0.2456871144800531,0.0051827230632786,-0.021872441817363,-0.0095750563568113,-0.0090996231867613,-0.0183492499283646,-0.0299480095399029,-0.035000679848547
218,7,2012-01-13,35.2599983215332,35.91999816894531,35.130001068115234,35.91999816894531,27.09491729736328,JPM,-0.0183741614993375,0.0,-0.0219932388947912,-0.2456871191940028,-0.0252374584446427,0.0065701550240258,-0.0095750563568113,-0.0090996231867613,-0.0183492499283646,-0.0299480095399029,-0.035000679848547
247,8,2012-01-17,34.849998474121094,35.68000030517578,34.5,34.90999984741211,26.333053588867188,JPM,-0.0017187445876045,0.0220567304820755,-0.0117444815011221,-0.2456873759963861,-0.0281179947945097,0.0334576937852997,0.020939839363806,-0.0090996231867613,-0.0183492499283646,-0.0299480095399029,-0.035000679848547
276,9,2012-01-18,34.540000915527344,36.68000030517578,34.529998779296875,36.540000915527344,27.56260108947754,JPM,-0.0547345361217579,0.0038314008248683,-0.0550082672651586,-0.2456869075291933,0.0466915232093896,-0.0099620635370877,-0.0196500165631645,-0.0090996231867613,-0.0183492499283646,-0.0299480095399029,-0.035000679848547
305,10,2012-01-19,36.84000015258789,37.150001525878906,36.709999084472656,36.93000030517578,27.85677528381348,JPM,-0.0024370471661023,0.0059572493605501,-0.00595724936055,-0.2456871092982546,0.0106732178400879,-0.0189548176501251,-0.0246412163856791,-0.0090996231867613,-0.0183492499283646,-0.0299480095399029,-0.035000679848547
334,11,2012-01-20,36.77999877929688,37.400001525878906,36.619998931884766,37.36000061035156,28.181129455566406,JPM,-0.0155246740251384,0.0010706882996212,-0.0198073251171672,-0.2456871253969388,0.0116436583163395,-0.0275160764500751,-0.0313704718529128,-0.0090996231867613,-0.0183492499283646,-0.0299480095399029,-0.035000679848547
363,12,2012-01-23,37.310001373291016,37.93999862670898,37.27000045776367,37.65999984741211,28.40743064880371,JPM,-0.0092936398178223,0.0074349118542578,-0.0103557990235955,-0.2456869154566449,0.0080299580342464,-0.0260225095552306,-0.0329795433296348,-0.0090996231867613,-0.0183492499283646,-0.0299480095399029,-0.035000679848547
392,13,2012-01-24,37.18000030517578,37.88999938964844,36.79999923706055,37.65999984741211,28.40743064880371,JPM,-0.0127456065900465,0.0061072634935799,-0.0228359164587372,-0.2456869154566449,0.0,-0.0114180415511954,-0.0267129234389765,-0.0395470650013064,-0.0183492499283646,-0.0299480095399029,-0.035000679848547
421,14,2012-01-25,37.36000061035156,37.81999969482422,37.119998931884766,37.59999847412109,28.36216354370117,JPM,-0.006382922167795,0.0058510965327445,-0.0127659457903087,-0.2456871091837419,-0.0015932388086601,-0.0042019935249242,-0.0210371903266333,-0.0329254814847292,-0.0183492499283646,-0.0299480095399029,-0.035000679848547
450,15,2012-01-26,37.880001068115234,38.09999847412109,37.25,37.4900016784668,28.279191970825195,JPM,0.0104027573269607,0.0162709194010159,-0.0064017516063394,-0.2456870977664434,-0.0029254468116536,0.001707166271393,-0.0159509419691481,-0.0255712839873933,-0.0183492499283646,-0.0299480095399029,-0.035000679848547
479,16,2012-01-27,37.22999954223633,37.65999984741211,37.150001525878906,37.209999084472656,28.06797218322754,JPM,0.0005375022374569,0.0120935440476062,-0.0016124041943013,-0.2456873723778184,-0.0074687271661277,0.0084389999497815,-0.0075782322568255,-0.0154972660380455,-0.0183492499283646,-0.0299480095399029,-0.035000679848547
508,17,2012-01-30,36.65999984741211,37.16999816894531,36.36000061035156,37.0099983215332,27.917116165161133,JPM,-0.0094568627396413,0.0043231519769892,-0.0175627598124871,-0.2456871809983746,-0.0053749198564992,0.0103756682985791,0.0007296703765196,-0.0072051433953498,-0.0183492499283646,-0.0299480095399029,-0.035000679848547
537,18,2012-01-31,37.52999877929688,37.540000915527344,36.93000030517578,37.29999923706055,28.1358699798584,JPM,0.0061662076927822,0.0064343614846065,-0.0099195426126749,-0.2456871164784596,0.0078357451683162,0.0005897378935917,-0.0006433738479573,-0.0113494140414345,-0.0225603182472269,-0.0299480095399029,-0.035000679848547
566,19,2012-02-01,37.88999938964844,38.02999877929688,37.5,37.59999847412109,28.36216354370117,JPM,0.0077127906195779,0.0114361787932451,-0.0026595339941279,-0.2456871091837419,0.0080428751527281,-0.0073936804864469,-0.0057978370056855,-0.0164893537132377,-0.0265425312351587,-0.0299480095399029,-0.035000679848547
595,20,2012-02-02,37.68999862670898,38.15999984741211,37.41999816894531,37.54999923706055,28.324451446533203,JPM,0.003728346005138,0.0162450232422246,-0.0034620791146895,-0.2456870300391923,-0.0013297669970641,-0.0057525132708918,-0.0028229845180224,-0.0135997365686723,-0.0217843667782928,-0.0299480095399029,-0.035000679848547
624,21,2012-02-03,38.27000045776367,38.5,38.04999923706055,38.27999877929688,28.875089645385746,JPM,-0.0002611891810878,0.0057471585088477,-0.0060083476899358,-0.2456872892848061,0.0194407338766562,-0.019122070131687,-0.0194354952548287,-0.0299196489635099,-0.0370426068324947,-0.0299480095399029,-0.035000679848547
