,date,tic,open,high,low,close,adjcp,Volume
0,2000-01-03,DJI,11501.849609375,11522.009765625,11305.6904296875,11357.509765625,11357.509765625,169750000
1,2000-01-04,DJI,11349.75,11350.0595703125,10986.4501953125,10997.9296875,10997.9296875,178420000
2,2000-01-05,DJI,10989.3701171875,11215.099609375,10938.669921875,11122.650390625,11122.650390625,203190000
3,2000-01-06,DJI,11113.3701171875,11313.4501953125,11098.4501953125,11253.259765625,11253.259765625,176550000
4,2000-01-07,DJI,11247.0595703125,11528.1396484375,11239.919921875,11522.5595703125,11522.5595703125,184900000
5,2000-01-10,DJI,11532.48046875,11638.2802734375,11532.48046875,11572.2001953125,11572.2001953125,168180000
6,2000-01-11,DJI,11568.4697265625,11663.099609375,11502.7001953125,11511.080078125,11511.080078125,177300000
7,2000-01-12,DJI,11506.73046875,11612.5302734375,11505.1796875,11551.099609375,11551.099609375,194060000
8,2000-01-13,DJI,11558.240234375,11656.580078125,11524.1103515625,11582.4296875,11582.4296875,174910000
9,2000-01-14,DJI,11619.349609375,11750.2802734375,11612.5302734375,11722.98046875,11722.98046875,266830000
10,2000-01-18,DJI,11719.1904296875,11720.1201171875,11546.4501953125,11560.7197265625,11560.7197265625,200220000
11,2000-01-19,DJI,11535.240234375,11574.6796875,11456.009765625,11489.3603515625,11489.3603515625,193090000
12,2000-01-20,DJI,11490.2900390625,11558.7001953125,11274.98046875,11351.2998046875,11351.2998046875,191230000
13,2000-01-21,DJI,11356.259765625,11387.599609375,11232.48046875,11251.7099609375,11251.7099609375,205840000
14,2000-01-24,DJI,11251.9404296875,11366.5,10917.26953125,11008.169921875,11008.169921875,202740000
15,2000-01-25,DJI,11010.9599609375,11079.51953125,10883.4501953125,11029.8896484375,11029.8896484375,209230000
16,2000-01-26,DJI,11025.849609375,11131.0302734375,11002.580078125,11032.990234375,11032.990234375,188840000
17,2000-01-27,DJI,11035.5498046875,11164.1396484375,10915.400390625,11028.01953125,11028.01953125,194280000
18,2000-01-28,DJI,11024.919921875,11024.919921875,10735.76953125,10738.8701171875,10738.8701171875,183090000
19,2000-01-31,DJI,10735.76953125,10956.669921875,10701.6396484375,10940.5302734375,10940.5302734375,191880000
20,2000-02-01,DJI,10937.740234375,11073.3203125,10907.9599609375,11041.0498046875,11041.0498046875,183110000
21,2000-02-02,DJI,11037.6396484375,11118.9296875,10987.0703125,11003.2001953125,11003.2001953125,164170000
22,2000-02-03,DJI,11010.48046875,11079.51953125,10842.259765625,11013.4404296875,11013.4404296875,178630000
23,2000-02-04,DJI,11014.3701171875,11089.4501953125,10943.01953125,10963.7998046875,10963.7998046875,166590000
24,2000-02-07,DJI,10965.9697265625,10970.9404296875,10846.2197265625,10905.7900390625,10905.7900390625,145660000
25,2000-02-08,DJI,10904.259765625,11023.0595703125,10904.259765625,10957.599609375,10957.599609375,168890000
26,2000-02-09,DJI,10948.8203125,10948.8203125,10698.849609375,10699.16015625,10699.16015625,168550000
27,2000-02-10,DJI,10697.919921875,10738.25,10606.400390625,10643.6298828125,10643.6298828125,156390000
28,2000-02-11,DJI,10638.6396484375,10638.6396484375,10356.9599609375,10425.2099609375,10425.2099609375,193540000
29,2000-02-14,DJI,10431.650390625,10549.0,10430.7998046875,10519.83984375,10519.83984375,167240000
30,2000-02-15,DJI,10520.150390625,10763.0703125,10494.48046875,10718.08984375,10718.08984375,183320000
31,2000-02-16,DJI,10711.8203125,10741.669921875,10561.41015625,10561.41015625,10561.41015625,163280000
32,2000-02-17,DJI,10565.759765625,10671.8603515625,10454.6103515625,10514.5703125,10514.5703125,195830000
33,2000-02-18,DJI,10514.5703125,10517.75,10199.98046875,10219.51953125,10219.51953125,208930000
34,2000-02-22,DJI,10219.830078125,10336.7900390625,10103.7998046875,10304.83984375,10304.83984375,194340000
35,2000-02-23,DJI,10294.8203125,10338.349609375,10164.919921875,10225.73046875,10225.73046875,185280000
36,2000-02-24,DJI,10242.48046875,10248.0595703125,9942.7802734375,10092.6298828125,10092.6298828125,237540000
37,2000-02-25,DJI,10090.76953125,10132.419921875,9836.0595703125,9862.1201171875,9862.1201171875,195240000
38,2000-02-28,DJI,9854.66015625,10156.5400390625,9842.5703125,10038.650390625,10038.650390625,213230000
39,2000-02-29,DJI,10039.580078125,10204.9404296875,10029.9599609375,10128.3095703125,10128.3095703125,191360000
40,2000-03-01,DJI,10128.1103515625,10186.330078125,10084.5595703125,10137.9296875,10137.9296875,216780000
41,2000-03-02,DJI,10135.4404296875,10212.3896484375,10103.490234375,10164.919921875,10164.919921875,206510000
42,2000-03-03,DJI,10171.1201171875,10443.51953125,10171.1201171875,10367.2001953125,10367.2001953125,210460000
43,2000-03-06,DJI,10358.9599609375,10383.9501953125,10121.48046875,10170.5,10170.5,172590000
44,2000-03-07,DJI,10197.6103515625,10229.1396484375,9752.6796875,9796.0302734375,9796.0302734375,278180000
45,2000-03-08,DJI,9800.6904296875,9918.8896484375,9731.8095703125,9856.5302734375,9856.5302734375,223310000
46,2000-03-09,DJI,9855.2900390625,10010.73046875,9738.9501953125,10010.73046875,10010.73046875,187360000
47,2000-03-10,DJI,10008.5498046875,10091.3896484375,9907.259765625,9928.8203125,9928.8203125,197440000
48,2000-03-13,DJI,9911.2197265625,9998.5498046875,9735.5400390625,9947.1298828125,9947.1298828125,186210000
49,2000-03-14,DJI,9957.669921875,10043.2998046875,9811.240234375,9811.240234375,9811.240234375,186080000
50,2000-03-15,DJI,9808.150390625,10180.2001953125,9776.490234375,10131.41015625,10131.41015625,204920000
51,2000-03-16,DJI,10139.580078125,10632.4599609375,10138.33984375,10630.599609375,10630.599609375,253790000
52,2000-03-17,DJI,10629.98046875,10763.3798828125,10567.3095703125,10595.23046875,10595.23046875,247830000
53,2000-03-20,DJI,10594.75,10727.7099609375,10586.990234375,10680.240234375,10680.240234375,177730000
54,2000-03-21,DJI,10680.240234375,10907.33984375,10603.6103515625,10907.33984375,10907.33984375,211950000
55,2000-03-22,DJI,10916.9599609375,10917.26953125,10789.1298828125,10866.7001953125,10866.7001953125,195830000
