日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,股票代號
 99/01/04,"2,512,687","191,431,212",76.10,76.40,76.00,76.00,-0.10,972,2912
 99/01/05,"2,040,076","155,824,876",76.40,76.60,76.00,76.30,+0.30,"1,044",2912
 99/01/06,"926,265","70,642,182",76.30,76.40,76.10,76.40,+0.10,644,2912
 99/01/07,"2,743,378","210,953,809",76.70,77.30,76.50,76.70,+0.30,"1,396",2912
 99/01/08,"1,667,589","128,462,978",77.00,77.20,76.90,77.00,+0.30,777,2912
 99/01/11,"1,490,331","114,973,479",77.00,77.30,77.00,77.10,+0.10,748,2912
 99/01/12,"3,208,903","245,220,793",77.10,77.10,76.00,76.10,-1.00,"1,703",2912
 99/01/13,"945,814","71,856,264",76.00,76.10,75.80,76.00,-0.10,577,2912
 99/01/14,"914,370","69,613,020",76.00,76.50,76.00,76.40,+0.40,701,2912
 99/01/15,"2,590,630","196,355,480",76.00,76.50,75.60,75.80,-0.60,"1,390",2912
 99/01/18,"823,408","62,505,508",75.80,76.10,75.70,76.00,+0.20,524,2912
 99/01/19,"974,605","73,847,152",76.00,76.20,75.50,75.60,-0.40,584,2912
 99/01/20,"855,971","64,651,590",76.00,76.00,75.30,75.40,-0.20,664,2912
 99/01/21,"1,964,813","147,770,888",75.30,75.40,75.10,75.10,-0.30,643,2912
 99/01/22,"2,038,359","152,688,884",75.00,75.40,74.60,74.80,-0.30,"1,224",2912
 99/01/25,"1,252,126","93,353,150",74.30,74.80,74.30,74.60,-0.20,699,2912
 99/01/26,"4,416,676","325,286,855",74.70,75.00,71.90,72.30,-2.30,"2,135",2912
 99/01/27,"1,415,290","103,225,702",72.50,73.30,72.50,73.00,+0.70,880,2912
 99/01/28,"2,029,258","148,468,120",73.00,73.50,73.00,73.00, 0.00,"1,042",2912
 99/01/29,"1,899,363","138,867,772",73.00,74.00,72.90,73.50,+0.50,898,2912
 99/02/01,"1,498,223","110,669,252",74.30,74.30,73.50,74.20,+0.70,928,2912
 99/02/02,"4,058,791","303,633,725",74.50,75.60,73.80,75.00,+0.80,"1,690",2912
 99/02/03,"1,234,098","92,094,650",75.00,75.20,74.40,75.00, 0.00,680,2912
 99/02/04,"1,270,245","95,395,591",75.20,75.50,74.50,74.70,-0.30,655,2912
 99/02/05,"2,674,825","195,801,090",74.00,74.00,72.20,72.60,-2.10,"1,555",2912
 99/02/06,"1,091,895","80,096,830",73.20,73.70,72.90,73.10,+0.50,575,2912
 99/02/08,"1,880,398","136,854,249",73.10,73.70,72.40,72.50,-0.60,"1,096",2912
 99/02/09,"3,641,810","265,061,100",72.50,73.70,72.50,72.50, 0.00,"1,602",2912
 99/02/10,"4,719,166","342,979,118",72.90,73.20,72.40,72.50, 0.00,"2,057",2912
 99/02/22,"4,741,062","354,023,866",74.00,75.70,73.10,75.70,+3.20,"2,429",2912
 99/02/23,"1,331,611","100,006,836",75.60,75.60,74.50,75.10,-0.60,879,2912
 99/02/24,"2,917,787","220,618,411",75.00,76.10,74.60,75.80,+0.70,"1,362",2912
 99/02/25,"2,349,727","178,635,349",76.10,76.50,75.20,75.60,-0.20,"1,324",2912
 99/02/26,"1,495,676","112,829,465",75.60,76.10,75.10,75.40,-0.20,466,2912
 99/03/01,"2,570,532","195,293,232",75.50,76.50,75.10,76.00,+0.60,976,2912
 99/03/02,"1,669,143","126,807,568",76.00,76.30,75.70,76.10,+0.10,913,2912
 99/03/03,"1,096,483","83,384,008",76.10,76.40,75.70,76.10, 0.00,528,2912
 99/03/04,"930,983","70,706,309",76.50,76.50,75.50,76.20,+0.10,530,2912
 99/03/05,"1,254,083","95,715,208",76.50,76.70,75.90,76.20, 0.00,823,2912
 99/03/08,"555,090","42,345,440",76.50,76.50,76.00,76.20, 0.00,362,2912
 99/03/09,"1,437,080","109,476,980",76.20,76.50,76.00,76.10,-0.10,878,2912
 99/03/10,"2,240,465","168,825,008",76.00,76.30,74.80,74.90,-1.20,944,2912
 99/03/11,"2,221,150","168,892,600",75.50,76.30,75.40,76.10,+1.20,827,2912
 99/03/12,"1,121,478","85,454,728",76.10,76.40,76.00,76.20,+0.10,749,2912
 99/03/15,"631,676","47,801,327",76.30,76.40,75.20,75.20,-1.00,399,2912
 99/03/16,"883,541","67,217,816",75.80,76.20,75.60,76.10,+0.90,515,2912
 99/03/17,"2,302,455","175,366,727",76.20,76.40,75.90,76.30,+0.20,"1,202",2912
 99/03/18,"1,928,135","146,702,656",76.30,76.40,75.70,76.10,-0.20,"1,224",2912
 99/03/19,"864,211","65,908,068",76.30,76.40,76.10,76.20,+0.10,438,2912
 99/03/22,"2,623,282","201,543,270",76.50,77.10,76.40,76.60,+0.40,"1,132",2912
 99/03/23,"664,279","50,931,165",76.80,77.00,76.40,76.50,-0.10,490,2912
 99/03/24,"1,958,322","150,811,954",76.80,77.30,76.50,77.30,+0.80,"1,083",2912
 99/03/25,"2,030,279","156,460,483",77.30,77.40,76.50,77.10,-0.20,804,2912
 99/03/26,"2,105,131","163,444,892",77.50,78.00,76.60,77.70,+0.60,"1,068",2912
 99/03/29,"2,152,228","168,615,311",78.00,78.70,77.90,78.70,+1.00,"1,157",2912
 99/03/30,"3,321,733","261,833,540",78.80,79.30,78.40,79.20,+0.50,"1,452",2912
 99/03/31,"1,937,214","153,232,750",79.20,79.30,78.60,79.20, 0.00,926,2912
 99/04/01,"2,145,867","170,525,193",79.20,79.70,78.80,79.40,+0.20,"1,201",2912
 99/04/02,"1,680,601","133,067,702",79.40,79.60,78.80,79.00,-0.40,985,2912
 99/04/06,"1,737,212","138,389,248",79.10,80.10,79.00,79.20,+0.20,975,2912
 99/04/07,"1,615,514","128,607,897",79.20,79.90,78.90,79.60,+0.40,"1,031",2912
 99/04/08,"2,080,805","164,093,963",79.50,79.50,78.40,78.60,-1.00,"1,214",2912
 99/04/09,"1,514,604","120,208,280",78.60,79.60,78.60,79.50,+0.90,840,2912
 99/04/12,"1,698,330","135,716,348",79.70,80.10,79.70,80.00,+0.50,775,2912
 99/04/13,"2,588,921","207,319,080",80.00,80.60,79.20,80.20,+0.20,"1,135",2912
 99/04/14,"4,970,152","412,682,334",80.80,85.80,80.80,85.20,+5.00,"2,438",2912
 99/04/15,"4,095,447","345,324,571",85.50,85.60,83.30,83.50,-1.70,"1,904",2912
 99/04/16,"4,770,533","403,829,130",84.00,85.60,83.70,85.00,+1.50,"2,331",2912
 99/04/19,"2,688,615","226,171,352",84.60,84.70,83.60,83.80,-1.20,"1,548",2912
 99/04/20,"2,763,579","232,659,321",84.00,85.20,83.70,84.90,+1.10,"1,182",2912
 99/04/21,"1,408,230","118,564,150",84.80,85.00,83.80,84.30,-0.60,808,2912
 99/04/22,"1,368,089","114,293,733",84.10,84.10,83.10,83.60,-0.70,923,2912
 99/04/23,"1,829,159","153,291,283",84.00,84.20,83.40,84.00,+0.40,782,2912
 99/04/26,"1,995,341","169,501,506",84.50,85.70,84.50,84.90,+0.90,"1,155",2912
 99/04/27,"5,791,746","505,034,305",85.90,88.70,85.90,86.60,+1.70,"2,318",2912
 99/04/28,"7,654,852","676,851,228",85.40,90.00,85.20,89.40,+2.80,"3,854",2912
 99/04/29,"4,929,607","441,877,438",89.70,90.20,88.60,89.10,-0.30,"1,942",2912
